Date,Open,High,Low,Close,Adj Close,Volume
4/20/2022,106.300003,106.839996,105.540001,105.849998,103.876152,352500
4/21/2022,105.980003,107.970001,104.309998,104.68,102.727966,306900
4/22/2022,104,104.300003,100.709999,100.839996,98.959564,493400
4/25/2022,100,104.160004,98.82,103.620003,101.687737,560900
4/26/2022,102.940002,102.940002,95.550003,96.32,94.523865,577600
4/27/2022,96.75,97.790001,94.459999,95.160004,93.38549,620100
4/28/2022,94.059998,95.849998,91.690002,92.040001,90.323669,1033100
4/29/2022,90.730003,93.139999,90.260002,91.050003,89.352135,642900
5/2/2022,91.599998,92.730003,89.769997,91.980003,90.264793,491300
5/3/2022,91.589996,92.019997,88.400002,89.779999,88.10582,612100
5/4/2022,90.550003,93.080002,88.029999,92.769997,91.040062,935200
5/5/2022,97.010002,97.839996,88.309998,90.040001,88.360977,1027000
5/6/2022,88.510002,89.949997,86.370003,87.360001,85.730949,866300
5/9/2022,85.470001,86.059998,83.080002,83.540001,81.982178,751300
5/10/2022,84.360001,86.449997,82.040001,86.059998,84.455185,805600
5/11/2022,85.379997,85.379997,81.610001,81.809998,80.284431,968200
5/12/2022,80.739998,83.239998,78.559998,80.160004,78.665215,549300
5/13/2022,80.32,83.019997,80.32,81.660004,80.488678,409500
5/16/2022,81.269997,81.959999,79.580002,81.610001,80.439392,652100
5/17/2022,83.160004,83.230003,80.489998,81.050003,79.887428,291200
5/18/2022,80.099998,80.099998,75.510002,76.419998,75.323837,653100
5/19/2022,76.199997,77.879997,75.75,77.370003,76.260216,562000
5/20/2022,78.360001,78.419998,74.459999,77,75.895515,495400
5/23/2022,77.769997,78.629997,75.18,77.769997,76.654465,488500
5/24/2022,76.699997,78.059998,75.269997,77.870003,76.753044,484800
5/25/2022,78.029999,84,77.32,83.050003,81.858742,916000
5/26/2022,82.43,86.099998,82.290001,84.980003,83.761055,675100
5/27/2022,85.010002,88.239998,84.769997,88.010002,86.747589,586900
5/31/2022,87.080002,88.910004,86.800003,88.010002,86.747589,614100
6/1/2022,88.5,89.449997,87.489998,88.699997,87.427689,564900
6/2/2022,88.230003,91.860001,88.230003,90.900002,89.596138,477600
6/3/2022,89.75,90.830002,87.669998,87.830002,86.570168,531600
6/6/2022,88.5,89.379997,87.230003,89.169998,87.890945,342500
6/7/2022,87.989998,90.459999,87.989998,89.220001,87.940231,308000
6/8/2022,88.540001,90.029999,87.279999,88.129997,86.86586,331800
6/9/2022,87.57,88.580002,86.790001,87.389999,86.136482,303000
6/10/2022,85.639999,86.5,83.099998,83.480003,82.28257,546300
6/13/2022,81.230003,84.489998,80.730003,83.620003,82.420563,579400
6/14/2022,83.519997,85.980003,82.709999,82.989998,81.799591,555700
6/15/2022,83.559998,84.620003,82.589996,83.330002,82.13472,428000
6/16/2022,81.610001,81.860001,80.050003,81.290001,80.123978,578800
6/17/2022,82.18,83.230003,80.349998,80.730003,79.572014,482400
6/21/2022,81.489998,82.690002,80.919998,81.989998,80.813934,281100
6/22/2022,80.510002,82.18,80.129997,81.25,80.084557,388600
6/23/2022,81.349998,83.860001,81.349998,83.610001,82.410698,323500
6/24/2022,83.610001,84.550003,82.550003,83.620003,82.420563,880000
6/27/2022,83.529999,84.75,82.800003,84.559998,83.347076,417200
6/28/2022,84.870003,85.330002,84.029999,84.050003,82.844391,371300
6/29/2022,84.43,85.480003,82.940002,85.160004,83.938477,339000
6/30/2022,84.559998,84.879997,83.040001,83.519997,82.321991,438100
7/1/2022,83.080002,86.919998,83.080002,86.599998,85.357811,426200
7/5/2022,85.339996,86.470001,84.099998,85.470001,84.244026,469900
7/6/2022,85.800003,85.980003,83.43,85.160004,83.938477,358700
7/7/2022,86.089996,88.059998,85.339996,87.220001,85.968918,512000
7/8/2022,87.029999,87.970001,85.589996,86.699997,85.456367,471100
7/11/2022,86.519997,86.849998,85.080002,85.660004,84.431297,230300
7/12/2022,85.93,86.870003,84.419998,84.629997,83.416061,374800
7/13/2022,82.989998,86.220001,82.989998,85.489998,84.263733,364000
7/14/2022,84.400002,85.360001,80.209999,82.169998,80.991356,424000
7/15/2022,83.440002,86.120003,83.040001,84.699997,83.485062,459500
7/18/2022,84.540001,85.199997,81.800003,81.870003,80.695656,510300
7/19/2022,83.050003,86.279999,82.230003,85.919998,84.687569,405600
7/20/2022,86.099998,88.290001,85.830002,87.190002,85.939354,438900
7/21/2022,85.800003,87.779999,85.410004,86.760002,85.515518,406300
7/22/2022,86.980003,87.419998,85.629997,86.209999,84.973404,285700
7/25/2022,86.940002,87.220001,83.849998,84.620003,83.406219,365000
7/26/2022,83.889999,84.669998,83.040001,83.889999,82.686684,379600
7/27/2022,84.870003,85.790001,84.290001,85.309998,84.086311,385600
7/28/2022,85.379997,90.150002,85.129997,90.040001,88.748474,766800
7/29/2022,90.5,96.050003,89.239998,95.889999,94.514557,1238300
8/1/2022,94.919998,97.610001,94.120003,94.269997,92.917793,695900
8/2/2022,93.18,95.989998,93.120003,94.82,93.4599,505400
8/3/2022,95.599998,97.400002,94.790001,96.769997,95.381935,626000
8/4/2022,95.889999,95.889999,91.550003,93.889999,92.543251,980800
8/5/2022,92,93.160004,90.709999,91.949997,90.631065,825000
8/8/2022,92.080002,94.129997,92.080002,93.260002,91.922287,534400
8/9/2022,91.980003,92.629997,89.870003,90.730003,89.428574,504200
8/10/2022,92.269997,92.5,90.360001,90.830002,89.527145,586100
8/11/2022,91.290001,92.889999,90.309998,90.5,89.201874,566100
8/12/2022,90.510002,92.889999,90.129997,92.889999,91.984474,351500
8/15/2022,92.510002,96.550003,91.709999,95.980003,95.044357,537400
8/16/2022,95.919998,95.919998,92.849998,93.5,92.588531,441400
8/17/2022,93.720001,94.459999,92.919998,93.139999,92.23204,335200
8/18/2022,92.650002,93.75,91.379997,92.120003,91.221985,412500
8/19/2022,91,91.879997,87.989998,88.309998,87.44912,632400
8/22/2022,87.489998,87.489998,85.260002,85.900002,85.062622,492600
8/23/2022,85.660004,86.449997,84.800003,84.870003,84.042664,392000
8/24/2022,84.510002,87,84.139999,85.720001,84.884377,378000
8/25/2022,85.360001,86.360001,84.849998,86.050003,85.211159,310200
8/26/2022,86.529999,86.529999,81.93,82.029999,81.230347,436200
8/29/2022,81.5,82.860001,80.980003,82.199997,81.398689,459400
8/30/2022,82.339996,84.410004,81.43,84.300003,83.478218,650800
8/31/2022,84.309998,84.769997,80.669998,80.830002,80.042046,499300
9/1/2022,79.870003,80.540001,77.510002,80.440002,79.655853,594000
9/2/2022,81.32,81.32,78.470001,79.269997,78.497246,508200
9/6/2022,79.269997,80.410004,78,79.849998,79.071594,501700
9/7/2022,79.860001,82.75,79.860001,82.720001,81.91362,419900
9/8/2022,82.18,84.209999,81.720001,84.029999,83.210854,407500
9/9/2022,84.989998,85.209999,84.339996,84.5,83.67627,426700
9/10/2022,82.14,79.86,79.86,82.72,81.91,407400
